"_id","_index","_score","_type","date_time","mac_stats"
wxTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:47.051","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":7,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":9379,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":9379,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-119,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1767140""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3502569,""totalBytesSdusDl"":8106,""totalPrbDl"":4225,""totalPrbUl"":40107,""totalPduDl"":1382,""totalPduUl"":13232,""totalTbsDl"":15192,""totalTbsUl"":840887,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
whTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:47.001","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":9,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":9299,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":9299,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-119,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1767090""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3502443,""totalBytesSdusDl"":8106,""totalPrbDl"":4225,""totalPrbUl"":40101,""totalPduDl"":1382,""totalPduUl"":13230,""totalTbsDl"":15192,""totalTbsUl"":840761,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
wRTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.951","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":11,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":9219,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":9219,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-119,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1767040""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3502317,""totalBytesSdusDl"":8106,""totalPrbDl"":4225,""totalPrbUl"":40098,""totalPduDl"":1382,""totalPduUl"":13228,""totalTbsDl"":15192,""totalTbsUl"":840698,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
wBTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.901","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":12,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":9139,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":9139,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-119,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766990""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3502254,""totalBytesSdusDl"":8106,""totalPrbDl"":4225,""totalPrbUl"":40092,""totalPduDl"":1382,""totalPduUl"":13227,""totalTbsDl"":15192,""totalTbsUl"":840572,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
vxTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.851","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":11,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":9059,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":9059,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-119,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766940""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3502128,""totalBytesSdusDl"":8106,""totalPrbDl"":4225,""totalPrbUl"":40086,""totalPduDl"":1382,""totalPduUl"":13225,""totalTbsDl"":15192,""totalTbsUl"":840446,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
vhTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.801","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":8,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":8979,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":8979,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-118,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766890""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3502110,""totalBytesSdusDl"":8104,""totalPrbDl"":4222,""totalPrbUl"":40083,""totalPduDl"":1381,""totalPduUl"":13224,""totalTbsDl"":15185,""totalTbsUl"":840383,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
vRTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.751","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":10,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":8899,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":8899,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-118,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766840""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3501984,""totalBytesSdusDl"":8104,""totalPrbDl"":4222,""totalPrbUl"":40077,""totalPduDl"":1381,""totalPduUl"":13222,""totalTbsDl"":15185,""totalTbsUl"":840257,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
vBTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.701","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":12,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":8819,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":8819,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-118,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766790""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3501858,""totalBytesSdusDl"":8104,""totalPrbDl"":4222,""totalPrbUl"":40071,""totalPduDl"":1381,""totalPduUl"":13220,""totalTbsDl"":15185,""totalTbsUl"":840131,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
uxTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.651","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":15,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":8739,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":8739,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-118,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766740""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3501732,""totalBytesSdusDl"":8104,""totalPrbDl"":4222,""totalPrbUl"":40065,""totalPduDl"":1381,""totalPduUl"":13218,""totalTbsDl"":15185,""totalTbsUl"":840005,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
uhTJnWcBxEP08HZRNvtc,"dataset-mac_stats",,json,"December 11th 2018, 17:01:46.601","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":9,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":8659,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":8659,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-118,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":86,""pktTxBytes"":31048,""pktTxSn"":13,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":1586515,""pktTxAiatW"":0,""pktRx"":1217,""pktRxBytes"":74037,""pktRxSn"":142,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":1587584,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""1766690""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":3501651,""totalBytesSdusDl"":8102,""totalPrbDl"":4219,""totalPrbUl"":40062,""totalPduDl"":1380,""totalPduUl"":13216,""totalTbsDl"":15178,""totalTbsUl"":839942,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
