"_id","_index","_score","_type","date_time","mac_stats"
"-BSxnWcBxEP08HZRzHW_","dataset-mac_stats",,json,"December 11th 2018, 16:36:12.651","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":11909,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":11909,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":395,""pktRxBytes"":23909,""pktRxSn"":394,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":232298,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""232722""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":537426,""totalBytesSdusDl"":8647,""totalPrbDl"":2083,""totalPrbUl"":25787,""totalPduDl"":664,""totalPduUl"":8552,""totalTbsDl"":12134,""totalTbsUl"":538416,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
"9xSxnWcBxEP08HZRzHW_","dataset-mac_stats",,json,"December 11th 2018, 16:36:12.601","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":11829,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":11829,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":395,""pktRxBytes"":23909,""pktRxSn"":394,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":232298,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""232672""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":537300,""totalBytesSdusDl"":8647,""totalPrbDl"":2083,""totalPrbUl"":25781,""totalPduDl"":664,""totalPduUl"":8550,""totalTbsDl"":12134,""totalTbsUl"":538290,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
"9hSxnWcBxEP08HZRzHW_","dataset-mac_stats",,json,"December 11th 2018, 16:36:12.551","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":11749,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":11749,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":395,""pktRxBytes"":23909,""pktRxSn"":394,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":232298,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""232622""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":537174,""totalBytesSdusDl"":8645,""totalPrbDl"":2080,""totalPrbUl"":25775,""totalPduDl"":663,""totalPduUl"":8548,""totalTbsDl"":12127,""totalTbsUl"":538164,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
"9BSxnWcBxEP08HZRzHW_","dataset-mac_stats",,json,"December 11th 2018, 16:36:12.451","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":11589,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":11589,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":395,""pktRxBytes"":23909,""pktRxSn"":394,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":232298,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""232522""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":536922,""totalBytesSdusDl"":8645,""totalPrbDl"":2080,""totalPrbUl"":25766,""totalPduDl"":663,""totalPduUl"":8544,""totalTbsDl"":12127,""totalTbsUl"":537975,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
"8RSxnWcBxEP08HZRzHW_","dataset-mac_stats",,json,"December 11th 2018, 16:36:12.301","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":11349,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":11349,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":395,""pktRxBytes"":23909,""pktRxSn"":394,""pktRxW"":1,""pktRxBytesW"":60,""pktRxAiat"":232298,""pktRxAiatW"":332,""pktRxOo"":0,""sfn"":""232372""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":536607,""totalBytesSdusDl"":8643,""totalPrbDl"":2077,""totalPrbUl"":25748,""totalPduDl"":662,""totalPduUl"":8539,""totalTbsDl"":12120,""totalTbsUl"":537597,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
7xSxnWcBxEP08HZRynWZ,"dataset-mac_stats",,json,"December 11th 2018, 16:36:12.151","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":11109,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":11109,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":394,""pktRxBytes"":23849,""pktRxSn"":393,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":231966,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""232222""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":536270,""totalBytesSdusDl"":8643,""totalPrbDl"":2077,""totalPrbUl"":25730,""totalPduDl"":662,""totalPduUl"":8533,""totalTbsDl"":12120,""totalTbsUl"":537260,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
7BSxnWcBxEP08HZRynWZ,"dataset-mac_stats",,json,"December 11th 2018, 16:36:12.001","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":10869,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":10869,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":394,""pktRxBytes"":23849,""pktRxSn"":393,""pktRxW"":1,""pktRxBytesW"":60,""pktRxAiat"":231966,""pktRxAiatW"":1010,""pktRxOo"":0,""sfn"":""232072""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":535892,""totalBytesSdusDl"":8641,""totalPrbDl"":2074,""totalPrbUl"":25715,""totalPduDl"":661,""totalPduUl"":8527,""totalTbsDl"":12113,""totalTbsUl"":536945,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
6hSxnWcBxEP08HZRynWZ,"dataset-mac_stats",,json,"December 11th 2018, 16:36:11.901","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":10709,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":10709,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":394,""pktRxBytes"":23849,""pktRxSn"":393,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":231966,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""231972""},""macStats"":{""tbsDl"":7,""tbsUl"":22,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":3,""mcs2Ul"":3,""totalBytesSdusUl"":535703,""totalBytesSdusDl"":8641,""totalPrbDl"":2074,""totalPrbUl"":25703,""totalPduDl"":661,""totalPduUl"":8524,""totalTbsDl"":12113,""totalTbsUl"":536693,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
6RSxnWcBxEP08HZRynWZ,"dataset-mac_stats",,json,"December 11th 2018, 16:36:11.851","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":10629,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":7}}]},""ulCqiReport"":{""sfnSn"":10629,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":393,""pktRxBytes"":23789,""pktRxSn"":392,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":230956,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""231922""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":11,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":535492,""totalBytesSdusDl"":8639,""totalPrbDl"":2071,""totalPrbUl"":25694,""totalPduDl"":660,""totalPduUl"":8520,""totalTbsDl"":12106,""totalTbsUl"":536545,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
5hSxnWcBxEP08HZRynWZ,"dataset-mac_stats",,json,"December 11th 2018, 16:36:11.701","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":6163,""mac_stats"":{""rnti"":6163,""bsr"":[0,0,0,0],""phr"":26,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":10389,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":8}}]},""ulCqiReport"":{""sfnSn"":10389,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-107,""pcellRsrq"":-8},""pdcpStats"":{""pktTx"":19,""pktTxBytes"":6963,""pktTxSn"":18,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":176673,""pktTxAiatW"":0,""pktRx"":393,""pktRxBytes"":23789,""pktRxSn"":392,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":230956,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""231772""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":9,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":13,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":535177,""totalBytesSdusDl"":8639,""totalPrbDl"":2071,""totalPrbUl"":25676,""totalPduDl"":660,""totalPduUl"":8515,""totalTbsDl"":12106,""totalTbsUl"":536167,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
