"_id","_index","_score","_type","date_time","mac_stats"
6hXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.301","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,31,0,0],""phr"":28,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":3204,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":3204,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2843,""pktRxBytes"":172028,""pktRxSn"":1822,""pktRxW"":3,""pktRxBytesW"":212,""pktRxAiat"":2664400,""pktRxAiatW"":329,""pktRxOo"":0,""sfn"":""2664401""},""macStats"":{""tbsDl"":7,""tbsUl"":177,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":18,""mcs2Ul"":18,""totalBytesSdusUl"":5220799,""totalBytesSdusDl"":32015,""totalPrbDl"":16051,""totalPrbUl"":134327,""totalPduDl"":5280,""totalPduUl"":43749,""totalTbsDl"":58688,""totalTbsUl"":2783030,""macSdusDl"":[{""sduLength"":2,""lcid"":1},{""sduLength"":2,""lcid"":2}],""harqRound"":8}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
6RXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.251","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":3124,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":3124,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2840,""pktRxBytes"":171848,""pktRxSn"":1819,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2664332,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664351""},""macStats"":{""tbsDl"":7,""tbsUl"":161,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":17,""mcs2Ul"":17,""totalBytesSdusUl"":5220541,""totalBytesSdusDl"":32003,""totalPrbDl"":16045,""totalPrbUl"":134317,""totalPduDl"":5278,""totalPduUl"":43746,""totalTbsDl"":58670,""totalTbsUl"":2782727,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
6BXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.201","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":3044,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":3044,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664301""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220317,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134310,""totalPduDl"":5277,""totalPduUl"":43744,""totalTbsDl"":58663,""totalTbsUl"":2782503,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
5xXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.151","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2964,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2964,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664251""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220317,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134304,""totalPduDl"":5277,""totalPduUl"":43744,""totalTbsDl"":58663,""totalTbsUl"":2782377,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
5hXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.101","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2884,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2884,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664201""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220191,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134301,""totalPduDl"":5277,""totalPduUl"":43742,""totalTbsDl"":58663,""totalTbsUl"":2782314,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
5RXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.051","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2804,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2804,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664151""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220191,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134295,""totalPduDl"":5277,""totalPduUl"":43742,""totalTbsDl"":58663,""totalTbsUl"":2782188,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
5BXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:44.001","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2724,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2724,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664101""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220128,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134289,""totalPduDl"":5277,""totalPduUl"":43741,""totalTbsDl"":58663,""totalTbsUl"":2782062,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
4xXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:43.951","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2644,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2644,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664051""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220065,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134286,""totalPduDl"":5277,""totalPduUl"":43740,""totalTbsDl"":58663,""totalTbsUl"":2781999,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
4hXWnWcBxEP08HZR50l5,"dataset-mac_stats",,json,"December 11th 2018, 17:16:43.901","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2564,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2564,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2664001""},""macStats"":{""tbsDl"":7,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":0,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5220002,""totalBytesSdusDl"":32001,""totalPrbDl"":16042,""totalPrbUl"":134280,""totalPduDl"":5277,""totalPduUl"":43739,""totalTbsDl"":58663,""totalTbsUl"":2781873,""macSdusDl"":[{""sduLength"":2,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
4RXWnWcBxEP08HZR5UlT,"dataset-mac_stats",,json,"December 11th 2018, 17:16:43.801","[{""agent_id"":2,""eNBId"":234881024,""ue_mac_stats"":[{""rnti"":3261,""mac_stats"":{""rnti"":3261,""bsr"":[0,0,0,0],""phr"":31,""rlcReport"":[{""lcId"":1,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":2,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0},{""lcId"":3,""txQueueSize"":0,""txQueueHolDelay"":0,""statusPduSize"":0}],""pendingMacCes"":0,""dlCqiReport"":{""sfnSn"":2404,""csiReport"":[{""servCellIndex"":0,""ri"":0,""type"":""FLCSIT_P10"",""p10csi"":{""wbCqi"":15}}]},""ulCqiReport"":{""sfnSn"":2404,""cqiMeas"":[{""type"":""FLUCT_SRS"",""servCellIndex"":0}],""pucchDbm"":[{""p0PucchDbm"":0,""servCellIndex"":0}]},""rrcMeasurements"":{""measid"":1,""pcellRsrp"":-100,""pcellRsrq"":-2},""pdcpStats"":{""pktTx"":127,""pktTxBytes"":46652,""pktTxSn"":54,""pktTxW"":0,""pktTxBytesW"":0,""pktTxAiat"":2623233,""pktTxAiatW"":0,""pktRx"":2838,""pktRxBytes"":171696,""pktRxSn"":1817,""pktRxW"":0,""pktRxBytesW"":0,""pktRxAiat"":2663372,""pktRxAiatW"":0,""pktRxOo"":0,""sfn"":""2663901""},""macStats"":{""tbsDl"":11,""tbsUl"":63,""prbRetxDl"":3,""prbRetxUl"":0,""prbDl"":3,""prbUl"":0,""mcs1Dl"":28,""mcs2Dl"":1,""mcs1Ul"":10,""mcs2Ul"":10,""totalBytesSdusUl"":5219795,""totalBytesSdusDl"":31999,""totalPrbDl"":16039,""totalPrbUl"":134271,""totalPduDl"":5276,""totalPduUl"":43735,""totalTbsDl"":58656,""totalTbsUl"":2781684,""macSdusDl"":[{""sduLength"":8,""lcid"":1}],""harqRound"":1}},""harq"":[""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK"",""ACK""]}]}]"
