date_index	rsrp	rsrq	wbcqi	macStats_phr	dlCqiReport_sfnSn	macStats_totalBytesSdusDl	macStats_totalTbsUl	macStats_mcs1Ul	macStats_totalPduDl	macStats_totalBytesSdusUl	macStats_tbsDl	macStats_totalPrbUl	macStats_macSdusDl_sduLength	macStats_macSdusDl_lcid	macStats_prbUl	macStats_totalPduUl	macStats_mcs1Dl	macStats_mcs2Dl	macStats_prbDl	macStats_totalPrbDl	macStats_prbRetxDl	macStats_totalTbsDl	ulCqiReport_sfnSn	pdcpStats_pktRx	pdcpStats_pktRxW	pdcpStats_pktRxAiatW	pdcpStats_pktRxOo	pdcpStats_pktRxBytesW	pdcpStats_pktRxSn	pdcpStats_pktTxBytesW	pdcpStats_pktTxSn	pdcpStats_pktTxBytes	pdcpStats_pktRxAiat	pdcpStats_pktRxBytes	pdcpStats_pktTx	pdcpStats_pktTxW	pdcpStats_pktTxAiatW	pdcpStats_sfn	pdcpStats_pktTxAiat	rnti	quality
4424	-127	-13	3	4294967295	6800	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6800	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	639127	609518	32812	0
4423	-127	-13	3	4294967295	6720	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6720	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	639077	609518	32812	0
4422	-127	-13	3	4294967295	6640	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6640	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	639027	609518	32812	0
4421	-127	-13	3	4294967295	6560	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6560	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638977	609518	32812	0
4420	-127	-13	3	4294967295	6480	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6480	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638927	609518	32812	0
4419	-127	-13	3	4294967295	6400	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6400	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638877	609518	32812	0
4418	-127	-13	3	4294967295	6320	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6320	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638827	609518	32812	0
4417	-127	-13	3	4294967295	6240	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6240	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638777	609518	32812	0
4416	-127	-13	3	4294967295	6160	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6160	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638727	609518	32812	0
4415	-127	-13	3	4294967295	6080	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	6080	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638677	609518	32812	0
4414	-127	-13	3	4294967295	5920	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5920	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638577	609518	32812	0
4413	-127	-13	3	4294967295	5840	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5840	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638527	609518	32812	0
4412	-127	-13	3	4294967295	5760	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5760	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638477	609518	32812	0
4411	-127	-13	3	4294967295	5680	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5680	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638427	609518	32812	0
4410	-127	-13	3	4294967295	5600	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5600	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638377	609518	32812	0
4409	-127	-13	3	4294967295	5520	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5520	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638327	609518	32812	0
4408	-127	-13	3	4294967295	5440	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5440	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638277	609518	32812	0
4407	-127	-13	3	4294967295	5360	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5360	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638227	609518	32812	0
4406	-127	-13	3	4294967295	5280	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5280	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638177	609518	32812	0
4405	-127	-13	3	4294967295	5200	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5200	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638127	609518	32812	0
4404	-127	-13	3	4294967295	5040	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	5040	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	638027	609518	32812	0
4403	-127	-13	3	4294967295	4960	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4960	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637977	609518	32812	0
4402	-127	-13	3	4294967295	4880	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4880	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637927	609518	32812	0
4401	-127	-13	3	4294967295	4800	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4800	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637877	609518	32812	0
4400	-127	-13	3	4294967295	4720	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4720	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637827	609518	32812	0
4399	-127	-13	3	4294967295	4640	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4640	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637777	609518	32812	0
4398	-127	-13	3	4294967295	4560	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4560	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637727	609518	32812	0
4397	-127	-13	3	4294967295	4480	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4480	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637677	609518	32812	0
4396	-127	-13	3	4294967295	4400	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4400	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637627	609518	32812	0
4395	-127	-13	3	4294967295	4320	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4320	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637577	609518	32812	0
4394	-127	-13	3	4294967295	4160	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4160	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637477	609518	32812	0
4393	-127	-13	3	4294967295	4080	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4080	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637427	609518	32812	0
4392	-127	-13	3	4294967295	4000	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	4000	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637377	609518	32812	0
4391	-127	-13	3	4294967295	3920	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3920	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637327	609518	32812	0
4390	-127	-13	3	4294967295	3840	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3840	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637277	609518	32812	0
4389	-127	-13	3	4294967295	3760	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3760	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637227	609518	32812	0
4388	-127	-13	3	4294967295	3680	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3680	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637177	609518	32812	0
4387	-127	-13	3	4294967295	3600	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3600	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637127	609518	32812	0
4386	-127	-13	3	4294967295	3520	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3520	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637077	609518	32812	0
4385	-127	-13	3	4294967295	3440	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3440	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	637027	609518	32812	0
4384	-127	-13	3	4294967295	3280	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3280	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636927	609518	32812	0
4383	-127	-13	3	4294967295	3200	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3200	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636877	609518	32812	0
4382	-127	-13	3	4294967295	3120	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3120	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636827	609518	32812	0
4381	-127	-13	3	4294967295	3040	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	3040	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636777	609518	32812	0
4380	-127	-13	3	4294967295	2960	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2960	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636727	609518	32812	0
4379	-127	-13	3	4294967295	2880	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2880	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636677	609518	32812	0
4378	-127	-13	3	4294967295	2800	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2800	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636627	609518	32812	0
4377	-127	-13	3	4294967295	2720	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2720	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636577	609518	32812	0
4376	-127	-13	3	4294967295	2640	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2640	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636527	609518	32812	0
4375	-127	-13	3	4294967295	2560	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2560	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636477	609518	32812	0
4374	-127	-13	3	4294967295	2400	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2400	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636377	609518	32812	0
4373	-127	-13	3	4294967295	2320	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2320	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636327	609518	32812	0
4372	-127	-13	3	4294967295	2240	7747	575460	10	966	1437927	7	27566	2	1	0	9079	2	0	3	2998	3	12764	2240	666	0	0	0	0	154	0	14	12872	614301	40372	35	0	0	636277	609518	32812	0
