date_index	rsrp	rsrq	wbcqi	macStats_phr	dlCqiReport_sfnSn	macStats_totalBytesSdusDl	macStats_totalTbsUl	macStats_mcs1Ul	macStats_totalPduDl	macStats_totalBytesSdusUl	macStats_tbsDl	macStats_totalPrbUl	macStats_macSdusDl_sduLength	macStats_macSdusDl_lcid	macStats_prbUl	macStats_totalPduUl	macStats_mcs1Dl	macStats_mcs2Dl	macStats_prbDl	macStats_totalPrbDl	macStats_prbRetxDl	macStats_totalTbsDl	ulCqiReport_sfnSn	pdcpStats_pktRx	pdcpStats_pktRxW	pdcpStats_pktRxAiatW	pdcpStats_pktRxOo	pdcpStats_pktRxBytesW	pdcpStats_pktRxSn	pdcpStats_pktTxBytesW	pdcpStats_pktTxSn	pdcpStats_pktTxBytes	pdcpStats_pktRxAiat	pdcpStats_pktRxBytes	pdcpStats_pktTx	pdcpStats_pktTxW	pdcpStats_pktTxAiatW	pdcpStats_sfn	pdcpStats_pktTxAiat	rnti	quality
2718	-107	-8	8	26	11909	8647	538416	10	664	537426	7	25787	2	1	0	8552	13	0	3	2083	9	12134	11909	395	0	0	0	0	394	0	18	6963	232298	23909	19	0	0	232722	176673	6163	0
2717	-107	-8	8	26	11829	8647	538290	10	664	537300	7	25781	2	1	0	8550	13	0	3	2083	9	12134	11829	395	0	0	0	0	394	0	18	6963	232298	23909	19	0	0	232672	176673	6163	0
2716	-107	-8	8	26	11749	8645	538164	10	663	537174	7	25775	2	1	0	8548	13	0	3	2080	9	12127	11749	395	0	0	0	0	394	0	18	6963	232298	23909	19	0	0	232622	176673	6163	0
2715	-107	-8	7	26	11589	8645	537975	10	663	536922	7	25766	2	1	0	8544	11	0	3	2080	9	12127	11589	395	0	0	0	0	394	0	18	6963	232298	23909	19	0	0	232522	176673	6163	0
2714	-107	-8	8	26	11349	8643	537597	10	662	536607	7	25748	2	1	0	8539	13	0	3	2077	9	12120	11349	395	1	332	0	60	394	0	18	6963	232298	23909	19	0	0	232372	176673	6163	0
2713	-107	-8	8	26	11109	8643	537260	10	662	536270	7	25730	2	1	0	8533	13	0	3	2077	9	12120	11109	394	0	0	0	0	393	0	18	6963	231966	23849	19	0	0	232222	176673	6163	0
2712	-107	-8	8	26	10869	8641	536945	10	661	535892	7	25715	2	1	0	8527	13	0	3	2074	9	12113	10869	394	1	1010	0	60	393	0	18	6963	231966	23849	19	0	0	232072	176673	6163	0
2711	-107	-8	8	26	10709	8641	536693	3	661	535703	7	25703	2	1	0	8524	13	0	3	2074	9	12113	10709	394	0	0	0	0	393	0	18	6963	231966	23849	19	0	0	231972	176673	6163	0
2710	-107	-8	7	26	10629	8639	536545	10	660	535492	7	25694	2	1	0	8520	11	0	3	2071	9	12106	10629	393	0	0	0	0	392	0	18	6963	230956	23789	19	0	0	231922	176673	6163	0
2709	-107	-8	8	26	10389	8639	536167	10	660	535177	7	25676	2	1	0	8515	13	0	3	2071	9	12106	10389	393	0	0	0	0	392	0	18	6963	230956	23789	19	0	0	231772	176673	6163	0
