date_index	rsrp	rsrq	wbcqi	macStats_phr	dlCqiReport_sfnSn	macStats_totalBytesSdusDl	macStats_totalTbsUl	macStats_mcs1Ul	macStats_totalPduDl	macStats_totalBytesSdusUl	macStats_tbsDl	macStats_totalPrbUl	macStats_macSdusDl_sduLength	macStats_macSdusDl_lcid	macStats_prbUl	macStats_totalPduUl	macStats_mcs1Dl	macStats_mcs2Dl	macStats_prbDl	macStats_totalPrbDl	macStats_prbRetxDl	macStats_totalTbsDl	ulCqiReport_sfnSn	pdcpStats_pktRx	pdcpStats_pktRxW	pdcpStats_pktRxAiatW	pdcpStats_pktRxOo	pdcpStats_pktRxBytesW	pdcpStats_pktRxSn	pdcpStats_pktTxBytesW	pdcpStats_pktTxSn	pdcpStats_pktTxBytes	pdcpStats_pktRxAiat	pdcpStats_pktRxBytes	pdcpStats_pktTx	pdcpStats_pktTxW	pdcpStats_pktTxAiatW	pdcpStats_sfn	pdcpStats_pktTxAiat	rnti	quality
6614	-100	-2	15	28	3204	32015	2783030	18	5280	5220799	7	134327	2	1	0	43749	28	0	3	16051	3	58688	3204	2843	3	329	0	212	1822	0	54	46652	2664400	172028	127	0	0	2664401	2623233	3261	0
6613	-100	-2	15	31	3124	32003	2782727	17	5278	5220541	7	134317	2	1	0	43746	28	0	3	16045	3	58670	3124	2840	0	0	0	0	1819	0	54	46652	2664332	171848	127	0	0	2664351	2623233	3261	0
6612	-100	-2	15	31	3044	32001	2782503	10	5277	5220317	7	134310	2	1	0	43744	28	0	3	16042	3	58663	3044	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664301	2623233	3261	0
6611	-100	-2	15	31	2964	32001	2782377	10	5277	5220317	7	134304	2	1	0	43744	28	0	3	16042	3	58663	2964	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664251	2623233	3261	0
6610	-100	-2	15	31	2884	32001	2782314	10	5277	5220191	7	134301	2	1	0	43742	28	0	3	16042	3	58663	2884	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664201	2623233	3261	0
6609	-100	-2	15	31	2804	32001	2782188	10	5277	5220191	7	134295	2	1	0	43742	28	0	3	16042	3	58663	2804	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664151	2623233	3261	0
6608	-100	-2	15	31	2724	32001	2782062	10	5277	5220128	7	134289	2	1	0	43741	28	0	3	16042	3	58663	2724	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664101	2623233	3261	0
6607	-100	-2	15	31	2644	32001	2781999	10	5277	5220065	7	134286	2	1	0	43740	28	0	3	16042	3	58663	2644	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664051	2623233	3261	0
6606	-100	-2	15	31	2564	32001	2781873	10	5277	5220002	7	134280	2	1	0	43739	28	0	3	16042	3	58663	2564	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2664001	2623233	3261	0
6605	-100	-2	15	31	2404	31999	2781684	10	5276	5219795	11	134271	8	1	0	43735	28	1	3	16039	3	58656	2404	2838	0	0	0	0	1817	0	54	46652	2663372	171696	127	0	0	2663901	2623233	3261	0
