date_index,rsrp,rsrq,wbcqi,macStats_phr,dlCqiReport_sfnSn,macStats_totalBytesSdusDl,macStats_totalTbsUl,macStats_mcs1Ul,macStats_totalPduDl,macStats_totalBytesSdusUl,macStats_tbsDl,macStats_totalPrbUl,macStats_macSdusDl_sduLength,macStats_macSdusDl_lcid,macStats_prbUl,macStats_totalPduUl,macStats_mcs1Dl,macStats_mcs2Dl,macStats_prbDl,macStats_totalPrbDl,macStats_prbRetxDl,macStats_totalTbsDl,ulCqiReport_sfnSn,pdcpStats_pktRx,pdcpStats_pktRxW,pdcpStats_pktRxAiatW,pdcpStats_pktRxOo,pdcpStats_pktRxBytesW,pdcpStats_pktRxSn,pdcpStats_pktTxBytesW,pdcpStats_pktTxSn,pdcpStats_pktTxBytes,pdcpStats_pktRxAiat,pdcpStats_pktRxBytes,pdcpStats_pktTx,pdcpStats_pktTxW,pdcpStats_pktTxAiatW,pdcpStats_sfn,pdcpStats_pktTxAiat,rnti,quality
"December 11th 2018, 17:01:47.051",-119,-8,7,7,9379,8106,840887,10,1382,3502569,7,40107,2,1,0,13232,11,0,3,4225,3,15192,9379,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1767140,1586515,3261,
"December 11th 2018, 17:01:47.001",-119,-8,8,9,9299,8106,840761,10,1382,3502443,7,40101,2,1,0,13230,13,0,3,4225,3,15192,9299,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1767090,1586515,3261,
"December 11th 2018, 17:01:46.951",-119,-8,7,11,9219,8106,840698,10,1382,3502317,7,40098,2,1,0,13228,11,0,3,4225,3,15192,9219,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1767040,1586515,3261,
"December 11th 2018, 17:01:46.901",-119,-8,8,12,9139,8106,840572,10,1382,3502254,7,40092,2,1,0,13227,13,0,3,4225,3,15192,9139,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766990,1586515,3261,
"December 11th 2018, 17:01:46.851",-119,-8,7,11,9059,8106,840446,10,1382,3502128,7,40086,2,1,0,13225,11,0,3,4225,3,15192,9059,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766940,1586515,3261,
"December 11th 2018, 17:01:46.801",-118,-8,7,8,8979,8104,840383,10,1381,3502110,7,40083,2,1,0,13224,11,0,3,4222,3,15185,8979,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766890,1586515,3261,
"December 11th 2018, 17:01:46.751",-118,-8,7,10,8899,8104,840257,10,1381,3501984,7,40077,2,1,0,13222,11,0,3,4222,3,15185,8899,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766840,1586515,3261,
"December 11th 2018, 17:01:46.701",-118,-8,8,12,8819,8104,840131,10,1381,3501858,7,40071,2,1,0,13220,13,0,3,4222,3,15185,8819,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766790,1586515,3261,
"December 11th 2018, 17:01:46.651",-118,-8,8,15,8739,8104,840005,10,1381,3501732,7,40065,2,1,0,13218,13,0,3,4222,3,15185,8739,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766740,1586515,3261,
"December 11th 2018, 17:01:46.601",-118,-8,8,9,8659,8102,839942,10,1380,3501651,7,40062,2,1,0,13216,13,0,3,4219,3,15178,8659,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766690,1586515,3261,
"December 11th 2018, 17:01:46.501",-118,-8,8,12,8499,8102,839753,10,1380,3501462,7,40053,2,1,0,13213,13,0,3,4219,3,15178,8499,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766590,1586515,3261,
"December 11th 2018, 17:01:46.451",-118,-8,8,13,8419,8102,839627,10,1380,3501399,7,40047,2,1,0,13212,13,0,3,4219,3,15178,8419,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766540,1586515,3261,
"December 11th 2018, 17:01:46.401",-118,-8,8,15,8339,8102,839501,10,1380,3501273,7,40041,2,1,0,13210,13,0,3,4219,3,15178,8339,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766490,1586515,3261,
"December 11th 2018, 17:01:46.351",-119,-8,8,7,8259,8100,839438,10,1379,3501192,7,40038,2,1,0,13208,13,13,3,4216,3,15171,8259,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766440,1586515,3261,
"December 11th 2018, 17:01:46.301",-119,-8,8,8,8179,8100,839312,10,1379,3501129,7,40032,2,1,0,13207,13,13,3,4216,3,15171,8179,1217,0,0,0,0,142,0,13,31048,1587584,74037,86,0,0,1766390,1586515,3261,
